name,ROI_优化模型,ROI_直接计算,j,k,差异,相对差异(%)
龙里县,0.0092096954464812,0.009209695446481292,2,1,-9.194034422677078e-17,-9.982995068734658e-13
三都水族自治县,0.0088153564673807,0.008815356467380787,2,1,-8.673617379884035e-17,-9.839213436210748e-13
惠水县,0.0108680017771595,0.010868001777159575,2,1,-7.45931094670027e-17,-6.863553300457604e-13
绿春县,0.0231110642244105,0.02311106422441058,2,1,-7.979727989493313e-17,-3.4527739233509164e-13
金平苗族瑶族傣族自治县,0.0185266021759298,0.01852660217592981,2,1,-6.938893903907228e-18,-3.745367789525054e-14
隆安县,0.0283513484672363,0.028351348467236324,2,1,-2.42861286636753e-17,-8.566128236101744e-14
上林县,0.0268288312984604,0.026828831298460497,2,1,-9.71445146547012e-17,-3.6208999778635747e-13
马山县,0.0253426145450758,0.025342614545075838,2,1,-3.8163916471489756e-17,-1.505918673213816e-13
广安区,0.0173903791344897,0.01739037913448971,2,1,-6.938893903907228e-18,-3.9900762658736817e-14
汪清县,0.0450864710532682,0.0450864710532682,2,1,0.0,0.0
安图县,0.044341391413736,0.04434139141373603,2,1,-3.469446951953614e-17,-7.82439802030852e-14
香格里拉市,0.0345008241246531,0.034500824124653176,2,1,-7.632783294297951e-17,-2.2123481070250175e-13
周至县,0.0190307369203176,0.019030736920317603,2,1,-3.469446951953614e-18,-1.823075462857963e-14
和龙市,0.0454663537379722,0.045466353737972275,2,1,-7.632783294297951e-17,-1.6787762085093831e-13
龙井市,0.0453814935664238,0.04538149356642389,2,1,-9.020562075079397e-17,-1.9877182010054823e-13
田阳区,0.0306666845528803,0.030666684552880363,2,1,-6.245004513516506e-17,-2.0364133275469926e-13
宣威市,0.0237238458786355,0.02372384587863554,2,1,-3.8163916471489756e-17,-1.6086732592483326e-13
黔西市,0.0105357849986948,0.010535784998694842,2,1,-4.163336342344337e-17,-3.9516147518766614e-13
曲水县,0.0201402054086283,0.020140205408628386,2,1,-8.673617379884035e-17,-4.306618132190508e-13
商州区,0.0213292652885083,0.02132926528850839,2,1,-9.020562075079397e-17,-4.229194936189116e-13
墨竹工卡县,0.0155175347777937,0.015517534777793784,2,1,-8.326672684688674e-17,-5.365976492995831e-13
林周县,0.0162578422206646,0.01625784222066462,2,1,-2.0816681711721685e-17,-1.2804086439750613e-13
当雄县,0.0173771366935222,0.017377136693522255,2,1,-5.551115123125783e-17,-3.194493558420988e-13
尼木县,0.021539448925063,0.021539448925063077,0,0,-7.632783294297951e-17,-3.543629793340035e-13
大方县,0.011374352095686,0.011374352095686036,2,1,-3.642919299551295e-17,-3.202748841345389e-13
织金县,0.0105349573129533,0.010534957312953352,2,1,-5.204170427930421e-17,-4.939906516309834e-13
纳雍县,0.0130201196390379,0.01302011963903793,2,1,-2.949029909160572e-17,-2.2649791176407951e-13
富源县,0.0220009072853067,0.022000907285306702,2,1,-3.469446951953614e-18,-1.5769563077385827e-14
