dataset,factor,cost_change_pct,roi_storage_sens,name,Province,cost_change_label
counties,0.7,-30,0.030643070427442926,绿春县,云南省,-30%
counties,0.7,-30,0.05531622504066954,汪清县,吉林省,-30%
counties,0.7,-30,0.05446778057222017,安图县,吉林省,-30%
counties,0.7,-30,0.0435768584797998,香格里拉市,云南省,-30%
counties,0.7,-30,0.055748912608613754,和龙市,吉林省,-30%
counties,0.7,-30,0.05565225137121098,龙井市,吉林省,-30%
counties,0.7,-30,0.0313261955839305,曲水县,西藏自治区,-30%
counties,0.7,-30,0.0257982526743967,墨竹工卡县,西藏自治区,-30%
counties,0.7,-30,0.026682660452332495,林周县,西藏自治区,-30%
counties,0.7,-30,0.028020477999124528,当雄县,西藏自治区,-30%
counties,0.7,-30,0.03273912131878187,尼木县,西藏自治区,-30%
counties,0.7,-30,0.03842283692864116,会泽县,云南省,-30%
counties,0.7,-30,0.034543212181269205,合作市,甘肃省,-30%
counties,0.7,-30,0.047577082094734546,易县,河北省,-30%
counties,0.7,-30,0.04569521925468007,曲阳县,河北省,-30%
counties,0.7,-30,0.04452514283423122,望都县,河北省,-30%
counties,0.7,-30,0.04574787167540385,顺平县,河北省,-30%
counties,0.7,-30,0.042831795070642005,武乡县,山西省,-30%
counties,0.7,-30,0.05463022630607213,涞源县,河北省,-30%
counties,0.7,-30,0.03368955496001053,红河县,云南省,-30%
counties,0.7,-30,0.03458988829120553,泸西县,云南省,-30%
counties,0.7,-30,0.039342423345977914,石屏县,云南省,-30%
counties,0.7,-30,0.03814324642899099,平顺县,山西省,-30%
counties,0.7,-30,0.03907341940557947,壶关县,山西省,-30%
counties,0.7,-30,0.04881299751117851,涞水县,河北省,-30%
counties,0.7,-30,0.0468323470624103,唐县,河北省,-30%
counties,0.7,-30,0.048772393797862065,阜平县,河北省,-30%
counties,0.7,-30,0.03673649935052589,玛曲县,甘肃省,-30%
counties,0.7,-30,0.05943739667437118,绥滨县,黑龙江省,-30%
counties,0.7,-30,0.0361969867110012,碌曲县,甘肃省,-30%
counties,0.7,-30,0.05414738895463182,靖宇县,吉林省,-30%
counties,0.7,-30,0.02735914949645602,迭部县,甘肃省,-30%
counties,0.7,-30,0.03134494194314841,临潭县,甘肃省,-30%
counties,0.7,-30,0.03020792161389981,卓尼县,甘肃省,-30%
counties,0.7,-30,0.03560935923194563,夏河县,甘肃省,-30%
counties,0.7,-30,0.035368972553571076,维西傈僳族自治县,云南省,-30%
counties,0.7,-30,0.04018885481885267,德钦县,云南省,-30%
counties,0.7,-30,0.027354725403896725,崆峒区,甘肃省,-30%
counties,0.7,-30,0.019495397006322666,原州区,宁夏回族自治区,-30%
counties,0.7,-30,0.03308874654979578,台前县,河南省,-30%
counties,0.7,-30,0.050038449846877185,河曲县,山西省,-30%
counties,0.7,-30,0.048566344841480036,保德县,山西省,-30%
counties,0.7,-30,0.051166592742201276,偏关县,山西省,-30%
counties,0.7,-30,0.014321148349630516,玉树市,青海省,-30%
counties,0.7,-30,0.032303511425545196,临夏市,甘肃省,-30%
counties,0.7,-30,0.02676594171775119,色尼区,西藏自治区,-30%
counties,0.7,-30,0.047252039828046086,繁峙县,山西省,-30%
counties,0.7,-30,0.05072344338195558,宁武县,山西省,-30%
counties,0.7,-30,0.05059957116190167,静乐县,山西省,-30%
counties,0.7,-30,0.05209252729881163,神池县,山西省,-30%
counties,0.7,-30,0.05049980069403267,五寨县,山西省,-30%
counties,0.7,-30,0.04978634857194764,岢岚县,山西省,-30%
counties,0.7,-30,0.023619366039650997,同心县,宁夏回族自治区,-30%
counties,0.7,-30,0.024674219851262717,盐池县,宁夏回族自治区,-30%
counties,0.7,-30,0.033004104470548676,班戈县,西藏自治区,-30%
counties,0.7,-30,0.022028146701250906,巴青县,西藏自治区,-30%
counties,0.7,-30,0.03482104663522203,尼玛县,西藏自治区,-30%
counties,0.7,-30,0.027204009099258276,聂荣县,西藏自治区,-30%
counties,0.7,-30,0.023027811564384687,安多县,青海省,-30%
counties,0.7,-30,0.03336585702926657,申扎县,西藏自治区,-30%
counties,0.7,-30,0.01940624904705563,索县,西藏自治区,-30%
counties,0.7,-30,0.03442599122949515,鄂伦春自治旗,内蒙古自治区,-30%
counties,0.7,-30,0.03632967334372887,莫力达瓦达斡尔族自治旗,内蒙古自治区,-30%
counties,0.7,-30,0.02072021895295279,嘉黎县,西藏自治区,-30%
counties,0.7,-30,0.020756277592529175,比如县,西藏自治区,-30%
counties,0.7,-30,0.05695793431155135,汤原县,黑龙江省,-30%
counties,0.7,-30,0.05837291760132426,桦川县,黑龙江省,-30%
counties,0.7,-30,0.04177597389658172,澜沧拉祜族自治县,云南省,-30%
counties,0.7,-30,0.04105499067373802,西盟佤族自治县,云南省,-30%
counties,0.7,-30,0.03299638655887976,江城哈尼族彝族自治县,云南省,-30%
counties,0.7,-30,0.042581322678918954,孟连傣族拉祜族佤族自治县,云南省,-30%
counties,0.7,-30,0.05573261244846539,桦南县,黑龙江省,-30%
counties,0.7,-30,0.04040757413261363,景谷傣族彝族自治县,云南省,-30%
counties,0.7,-30,0.03799200230569443,镇沅彝族哈尼族拉祜族自治县,云南省,-30%
counties,0.7,-30,0.04608338944877195,五台县,山西省,-30%
counties,0.7,-30,0.03698044917159846,墨江哈尼族自治县,云南省,-30%
counties,0.7,-30,0.047413258211919676,代县,山西省,-30%
counties,0.7,-30,0.03659445868240181,景东彝族自治县,云南省,-30%
counties,0.7,-30,0.037756644183316666,宁洱哈尼族彝族自治县,云南省,-30%
counties,0.7,-30,0.016555025448739116,和田市,新疆维吾尔自治区,-30%
counties,0.7,-30,0.06606114328056026,木里藏族自治县,四川省,-30%
counties,0.7,-30,0.06315340529141061,盐源县,四川省,-30%
counties,0.7,-30,0.053337882492815646,布拖县,四川省,-30%
