dataset,Province,factor,cost_change_pct,cost_change_label,n,mean_roi,median_roi,roi_gt_003_ratio,roi_gt_003_count,baseline_mean_roi,delta_mean_roi_vs_base
counties,云南省,0.7,-30,-30%,63,0.04067735651658638,0.040970247373506345,1.0,63,0.036817156277635446,0.0038602002389509366
counties,云南省,0.8,-20,-20%,63,0.039352976057743745,0.03963962190672935,0.9841269841269841,62,0.036817156277635446,0.002535819780108299
counties,云南省,0.9,-10,-10%,63,0.03806678629070247,0.03834736149714741,0.9841269841269841,62,0.036817156277635446,0.0012496300130670213
counties,云南省,1.0,0,0%,63,0.036817156277635446,0.037091830492558195,0.9365079365079365,59,0.036817156277635446,0.0
counties,云南省,1.1,10,10%,63,0.035602546775278576,0.035871484916909335,0.9206349206349206,58,0.036817156277635446,-0.0012146095023568698
counties,云南省,1.2,20,20%,63,0.03442150387149523,0.034684866136144465,0.873015873015873,55,0.036817156277635446,-0.002395652406140217
counties,云南省,1.3,30,30%,63,0.03327265314519728,0.033530595042063724,0.8412698412698413,53,0.036817156277635446,-0.003544503132438169
counties,内蒙古自治区,0.7,-30,-30%,31,0.03820154972838288,0.038418263173451,1.0,31,0.03213039658201719,0.006071153146365693
counties,内蒙古自治区,0.8,-20,-20%,31,0.03608047024573342,0.0362875344156688,1.0,31,0.03213039658201719,0.003950073663716233
counties,内蒙古自治区,0.9,-10,-10%,31,0.03405904023847813,0.034257082976107626,1.0,31,0.03213039658201719,0.0019286436564609419
counties,内蒙古自治区,1.0,0,0%,31,0.03213039658201719,0.032319992656786985,0.9354838709677419,29,0.03213039658201719,0.0
counties,内蒙古自治区,1.1,10,10%,31,0.030288292413375113,0.030469968986214034,0.6451612903225806,20,0.03213039658201719,-0.0018421041686420767
counties,内蒙古自治区,1.2,20,20%,31,0.028527029462679994,0.028701270892872027,0.12903225806451613,4,0.03213039658201719,-0.003603367119337196
counties,内蒙古自治区,1.3,30,30%,31,0.026841399111535002,0.027008651195653967,0.0,0,0.03213039658201719,-0.005288997470482188
counties,吉林省,0.7,-30,-30%,8,0.06019409423565451,0.055700581989912366,1.0,8,0.055147226919175334,0.00504686731647918
counties,吉林省,0.8,-20,-20%,8,0.058458631678723026,0.054108355371981894,1.0,8,0.055147226919175334,0.0033114047595476925
counties,吉林省,0.9,-10,-10%,8,0.05677717275642133,0.05256338608909136,1.0,8,0.055147226919175334,0.0016299458372459955
