dataset,factor,cost_change_pct,cost_change_label,sample_size,mean_roi,median_roi,p25_roi,p75_roi,roi_gt_003_ratio,roi_gt_003_count,baseline_mean_roi,delta_mean_roi_vs_base
counties,0.7,-30,-30%,470,0.03832413628418963,0.03842055005104608,0.02735583142703655,0.04627830532689303,0.725531914893617,341,0.03380763314694601,0.004516503137243624
counties,0.8,-20,-20%,470,0.03676105926528834,0.036505839354324034,0.02608213907700554,0.04496896388680446,0.6787234042553192,319,0.03380763314694601,0.002953426118342331
counties,0.9,-10,-10%,470,0.035256710177649184,0.0346796351135527,0.024631051856653555,0.04365550129514498,0.6446808510638298,303,0.03380763314694601,0.0014490770307031761
counties,1.0,0,0%,470,0.03380763314694601,0.033190671223161786,0.02320228813603818,0.042252885193495585,0.5936170212765958,279,0.03380763314694601,0.0
counties,1.1,10,10%,470,0.03241065174614631,0.031828514519032444,0.02166632683187398,0.04087318427921374,0.548936170212766,258,0.03380763314694601,-0.0013969814007996975
counties,1.2,20,20%,470,0.0310628402119713,0.030363403830688043,0.02040699727365351,0.03955700542701542,0.5042553191489362,237,0.03380763314694601,-0.002744792934974708
counties,1.3,30,30%,470,0.029761498252579014,0.028757142825104005,0.019137155744545588,0.038430091368042076,0.4829787234042553,227,0.03380763314694601,-0.0040461348943669935
poverty,0.7,-30,-30%,831,0.033402206566407786,0.03201721354393752,0.02271099656897987,0.04201655892694693,0.5643802647412756,469,0.02983437817150769,0.003567828394900094
poverty,0.8,-20,-20%,831,0.03217232989865068,0.03054806079043158,0.02170691509587324,0.040860327894105056,0.5174488567990373,430,0.02983437817150769,0.0023379517271429895
poverty,0.9,-10,-10%,831,0.03098381099718119,0.029166211476510263,0.020555819712631138,0.039844152194460386,0.48495788206979545,403,0.02983437817150769,0.0011494328256734972
poverty,1.0,0,0%,831,0.02983437817150769,0.028129031598560124,0.019806559197008872,0.03877033782715861,0.45126353790613716,375,0.02983437817150769,0.0
poverty,1.1,10,10%,831,0.028721935414996954,0.026992162446476387,0.01893114644561266,0.037792114064335025,0.4127557160048135,343,0.02983437817150769,-0.0011124427565107377
poverty,1.2,20,20%,831,0.027644544842673962,0.02566470424923607,0.017839248853545653,0.036865201324578475,0.381468110709988,317,0.02983437817150769,-0.0021898333288337297
poverty,1.3,30,30%,831,0.02660041127535541,0.024661449688693056,0.01697366841368149,0.035952143644226546,0.36341756919374246,302,0.02983437817150769,-0.003233966896152282
